entry_ts,exit_ts,direction,entry_price,exit_price,stop_price,exit_reason,pnl_points,spread_cost_points,mae_points,mfe_points,nights
2019-01-04T07:00:00.000000,2019-01-04T15:00:00.000000,1,1.1393499999999999,1.1363671428571427,1.1363671428571427,stop,-298.2857142857176,9.0,298.2857142857176,245.0000000000063,0
2019-01-09T02:00:00.000000,2019-01-09T16:00:00.000000,-1,1.14567,1.1489,1.1489,stop,-323.0000000000066,9.0,323.0000000000066,178.00000000001145,0
2019-01-09T17:00:00.000000,2019-01-10T20:00:00.000000,1,1.15248,1.1490571428571428,1.1490571428571428,stop,-342.2857142857172,9.0,342.2857142857172,449.00000000001046,1
2019-01-11T09:00:00.000000,2019-01-18T15:00:00.000000,-1,1.15219,1.1402299999999999,1.1545128571428571,signal,1196.000000000019,9.0,187.99999999998815,1528.0000000000182,5
2019-01-18T15:00:00.000000,2019-01-18T16:00:00.000000,1,1.1402299999999999,1.138672857142857,1.138672857142857,stop,-155.71428571428123,9.0,155.71428571428123,27.000000000021448,0
2019-01-18T18:00:00.000000,2019-01-21T09:00:00.000000,-1,1.13653,1.1386414285714286,1.1386414285714286,stop,-211.14285714285418,9.0,211.14285714285418,131.00000000001444,1
2019-01-23T14:00:00.000000,2019-01-23T15:00:00.000000,1,1.13642,1.1350571428571428,1.1350571428571428,stop,-136.2857142857221,9.0,136.2857142857221,39.999999999995595,0
2019-01-24T20:00:00.000000,2019-01-25T13:00:00.000000,-1,1.1297,1.1344257142857144,1.1344257142857144,stop,-472.57142857144436,9.0,472.57142857144436,86.99999999999262,1
2019-01-25T23:00:00.000000,2019-02-01T07:00:00.000000,1,1.14156,1.14412,1.1384557142857141,signal,256.00000000001177,17.0,258.999999999987,985.0000000000135,5
2019-02-01T07:00:00.000000,2019-02-01T11:00:00.000000,-1,1.14412,1.1461157142857143,1.1461157142857143,stop,-199.57142857143228,9.0,199.57142857143228,70.0000000000145,0
2019-02-13T02:00:00.000000,2019-02-13T14:00:00.000000,1,1.1333199999999999,1.130925714285714,1.130925714285714,stop,-239.4285714285793,9.0,239.4285714285793,67.00000000001704,0
2019-02-14T02:00:00.000000,2019-02-14T09:00:00.000000,-1,1.12631,1.129132857142857,1.129132857142857,stop,-282.28571428570154,9.0,282.28571428570154,29.999999999996692,0
2019-02-15T09:00:00.000000,2019-02-15T09:00:00.000000,1,1.12885,1.127587142857143,1.127587142857143,stop,-126.285714285701,9.0,126.285714285701,13.00000000001855,0
2019-02-18T00:00:00.000000,2019-02-18T04:00:00.000000,-1,1.12887,1.1321685714285714,1.1321685714285714,stop,-329.85714285713726,9.0,329.85714285713726,1.0000000000065512,0
2019-02-18T06:00:00.000000,2019-02-19T13:00:00.000000,1,1.13168,1.1289671428571428,1.1289671428571428,stop,-271.2857142857183,9.0,271.2857142857183,154.99999999999403,1
2019-02-19T19:00:00.000000,2019-02-19T20:00:00.000000,-1,1.13274,1.13486,1.1360800000000002,signal,-211.99999999998997,9.0,307.99999999997493,62.00000000000649,0
2019-02-19T20:00:00.000000,2019-02-21T18:00:00.000000,1,1.13486,1.13469,1.1311257142857143,signal,-17.000000000000348,9.0,303.9999999999931,222.9999999999954,2
